Rank,Name,Release date,Worldwide_box_office,Rotten Tomatoes,Metacritic,Distributor,Publisher,Year
1,Warcraft,10-06-2016,439048914,28,32,Universal Pictures,Blizzard Entertainment,2016
2,Detective Pikachu,10-05-2019,433005346,68,53,Warner Bros. Pictures,NintendoThe Pokemon Company,2019
3,Rampage,13-04-2018,428028233,51,45,Warner Bros. Pictures,WB Games,2018
4,Prince of Persia: The Sands of Time,28-05-2010,336365676,37,50,Walt Disney Studios Motion Pictures,Ubisoft,2010
5,Sonic the Hedgehog,14-02-2020,320954026,63,47,Paramount Pictures,Sega Sammy,2020
6,Resident Evil: The Final Chapter,27-01-2017,312257250,37,49,Sony Pictures Releasing,Capcom,2017
7,Resident Evil: Afterlife,10-09-2010,300228084,22,37,Sony Pictures Releasing,Capcom,2010
8,Lara Croft: Tomb Raider,15-06-2001,274703340,20,33,Paramount Pictures,Eidos,2001
9,Tomb Raider,16-03-2018,274650803,52,48,Warner Bros. Pictures,Square Enix,2018
10,Assassin's Creed,21-12-2016,240558621,18,36,20th Century Fox,Ubisoft,2016
11,Resident Evil: Retribution,14-09-2012,240004424,28,39,Sony Pictures Releasing,Capcom,2012
12,Need for Speed,14-03-2014,203277636,23,39,Walt Disney Studios Motion Pictures,Electronic Arts,2014
13,Lara Croft: Tomb Raider & The Cradle of Life,25-07-2003,156505388,24,43,Paramount Pictures,Eidos,2003
14,Resident Evil: Extinction,21-09-2007,148412065,25,41,Sony Pictures Releasing,Capcom,2007
15,Resident Evil: Apocalypse,10-09-2004,129342769,19,35,Sony Pictures Releasing,Capcom,2004
16,Mortal Kombat,18-08-1995,124741822,44,60,New Line Cinema,Midway,1995
17,Resident Evil,15-03-2002,102984862,36,33,Sony Pictures Releasing,Capcom,2002
18,Hitman,21-11-2007,101276318,16,35,20th Century Fox,Eidos,2007
19,Street Fighter,23-12-1994,99423521,13,34,Universal Pictures,Capcom,1994
20,Silent Hill,21-04-2006,97607453,32,31,Sony Pictures Releasing,Konami,2006
21,Max Payne,17-10-2008,85416905,16,31,20th Century Fox,Rockstar Games,2008
22,Mortal Kombat,23-04-2021,83601013,55,44,Warner Bros. Pictures,WB Games,2021
23,Hitman: Agent 47,21-08-2015,82347656,8,28,20th Century Fox,Square Enix,2015
24,Doom,21-10-2005,55987321,18,34,Universal Pictures,id Software,2005
25,Silent Hill: Revelation,26-10-2012,52302796,10,16,Open Road Films,Konami,2012
26,Mortal Kombat: Annihilation,21-11-1997,51376861,2,11,New Line Cinema,Midway,1997
27,Monster Hunter,18-12-2020,42145959,46,47,Sony Pictures Releasing,Capcom,2020
28,Super Mario Bros.,28-05-1993,38912465,24,35,Buena Vista Pictures Distribution,Nintendo,1993
29,Resident Evil: Welcome to Raccoon City,24-11-2021,31837037,29,44,Sony Pictures Releasing,Capcom,2021
30,House of the Dead,10-10-2003,13818181,3,15,Artisan Entertainment,Sega Sammy,2003
31,In the Name of the King: A Dungeon Siege Tale,11-01-2008,13097915,4,15,20th Century Fox,Microsoft Studios,2008
32,Street Fighter: The Legend of Chun-Li,27-02-2009,12764201,5,17,20th Century Fox,Capcom,2009
33,Wing Commander,12-03-1999,11578059,10,21,20th Century Fox,Origin Systems,1999
34,Alone in the Dark,28-01-2005,10442808,1,9,Lionsgate Films,Infogrames,2005
35,DOA: Dead or Alive,07-09-2006,7516532,33,38,Metro-Goldwyn-Mayer / Dimension Films,Tecmo,2006
36,Double Dragon,04-11-1994,4152699,13,,Gramercy Pictures,Technos Japan,1994
37,BloodRayne,06-01-2006,3650275,4,18,Boll KG Productions,Majesco Entertainment,2006
38,Tekken,20-03-2010,1697207,0,,Warner Bros. Pictures,Bandai Namco Games,2010
39,Werewolves Within,25-06-2021,937490,85,66,IFC Films,Ubisoft,2021
40,Far Cry,02-10-2008,743634,,,20th Century Fox,Ubisoft,2008
41,Dead Trigger,03-05-2019,151493,,,Saban Films,Madfinger Games,2019
42,Postal,18-10-2007,146741,9,22,Vivendi Entertainment,Ripcord Games,2007
