Global_Sales,Publisher
1786.56,Nintendo
245.79,Microsoft Game Studios
399.54,Take-Two Interactive
607.5,Sony Computer Entertainment
727.46,Activision
474.72,Ubisoft
82.14,Bethesda Softworks
1110.32,Electronic Arts
272.99,Sega
57.65,SquareSoft
157.22,Atari
55.91,505 Games
200.89,Capcom
25.23,GT Interactive
283.64,Konami Digital Entertainment
23.89,Sony Computer Entertainment Europe
145.18,Square Enix
87.34,LucasArts
43.87,Virgin Interactive
153.89,Warner Bros. Interactive Entertainment
17.77,Universal Interactive
98.98,Eidos Interactive
8.68,RedOctane
58.21,Vivendi Games
33.74,Enix Corporation
254.09,Namco Bandai Games
4.17,Palcom
15.22,Hasbro Interactive
340.77,THQ
7.39,Fox Interactive
64.14,Acclaim Entertainment
20.97,MTV Games
119.96,Disney Interactive Studios
14.88,N/A
16.08,Majesco Entertainment
47.87,Codemasters
5.24,Red Orb
12.17,Level 5
4.72,Arena Entertainment
69.85,Midway Games
2.8,JVC
25.67,Deep Silver
13.32,989 Studios
2.59,NCSoft
2.25,UEP Systems
4.97,Parker Bros.
3.39,Maxis
4.82,Imagic
53.55,Tecmo Koei
3.23,Valve Software
10.89,ASCII Entertainment
7.74,Mindscape
16.34,Infogrames
34.66,Unknown
3.64,Square
1.74,Valve
6.96,Activision Value
17.4,Banpresto
24.13,D3Publisher
3.46,Oxygen Interactive
2.32,Red Storm Entertainment
2.18,Video System
1.6,Hello Games
7.65,Global Star
3.72,Gotham Games
1.55,Westwood Studios
3.15,GungHo
9.93,Crave Entertainment
23.01,Hudson Soft
3.06,Coleco
17.31,Rising Star Games
12.74,Atlus
8.31,TDK Mediactive
2.02,ASC Games
4.82,Zoo Games
1.68,Accolade
3.53,Sony Online Entertainment
10.12,3DO
2,RTL
3.69,Natsume
7.51,Focus Home Interactive
2.63,Alchemist
1.2,Black Label Games
6.35,SouthPeak Games
1.73,Mastertronic
3.61,Ocean
12.87,Zoo Digital Publishing
7.27,Psygnosis
4.61,City Interactive
11.29,Empire Interactive
1.96,Success
2.46,Compile
1.21,Russel
2.84,Taito
1.94,Agetec
3.69,GSP
2.02,Microprose
4.31,Play It
1.38,Slightly Mad Studios
4.97,Tomy Corporation
2.73,Sammy Corporation
4.71,Koch Media
3.79,Game Factory
3.32,Titus
2.33,Marvelous Entertainment
1.46,Genki
2.89,Mojang
1.42,Pinnacle
0.9,CTO SpA
0.87,TalonSoft
1.71,Crystal Dynamics
3.52,SCi
0.87,Quelle
0.86,"mixi, Inc"
1.42,Rage Software
4.46,Ubisoft Annecy
2.91,Scholastic Inc.
6.66,Interplay
0.82,Mystique
4.07,ChunSoft
0.8,Square EA
1.94,20th Century Fox Video Games
1.69,Avanquest Software
1.69,Hudson Entertainment
4.44,Nordic Games
0.77,Men-A-Vision
1.94,Nobilis
1,Big Ben Interactive
1.58,Touchstone
6.15,Spike
1.15,Jester Interactive
14.28,Nippon Ichi Software
1.56,LEGO Media
0.71,Quest
0.7,Illusion Softworks
1.42,Tigervision
0.91,Funbox Media
1.82,Rocket Company
1.84,Metro 3D
3.51,Mattel Interactive
0.96,IE Institute
2.58,Rondomedia
1.18,Sony Computer Entertainment America
0.63,Universal Gamex
2.79,Ghostlight
0.62,Wizard Video Games
1.18,BMG Interactive Entertainment
4.27,PQube
1.15,Trion Worlds
1.55,Laguna
6.82,Ignition Entertainment
3.45,Takara
3.77,Kadokawa Shoten
4.36,Destineer
2.23,Enterbrain
0.9,Xseed Games
2.65,Imagineer
1.8,System 3 Arcade Software
0.54,CPG Products
1.18,Aruze Corp
0.73,Gamebridge
2.72,Midas Interactive Entertainment
1.94,Jaleco
0.5,Answer Software
1.46,XS Games
0.48,Activision Blizzard
0.48,Pack In Soft
0.49,Rebellion
1.64,Xplosiv
0.47,Ultravision
1.38,GameMill Entertainment
0.65,Wanadoo
